Years,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Montana,556281,588086,594010,601765,611317,619531,630016,637612,644633,647337,642656,645213,644784,647260,648235,649307,651308,654848,655982,
New York,12207191,12472670,12546817,12611362,12649601,12672683,12712012,12792859,12874864,12947913,12959502,13029226,13019712,13017025,12987058,12937483,12874521,12786352,12698174,
Tennessee,3606094,3794547,3827514,3864626,3911068,3970765,4039644,4095130,4136523,4168493,4155784,4178806,4186332,4197127,4209282,4227454,4251297,4281513,4305523,
Arizona,3049731,3351510,3439412,3517905,3617498,3746466,3874310,3961529,4030845,4065865,4051648,4096849,4129523,4161894,4210815,4260592,4319819,4373761,4438476,
Idaho,778739,844938,859805,875767,895646,919323,946012,966452,982481,991726,987031,994222,998049,1003809,1011871,1021086,1038787,1058102,1076553,
Michigan,6280525,6466922,6500973,6536391,6560003,6571875,6587893,6578959,6545501,6506921,6462782,6470750,6453483,6444197,6434504,6414678,6403256,6391335,6370884,
Ohio,7179786,7327277,7364281,7403009,7426836,7455261,7490618,7513189,7524886,7524972,7505849,7514719,7478437,7470449,7458759,7443194,7427145,7415028,7396314,
Vermont,388961,406722,411249,414746,417848,420527,423595,424306,424653,424203,420761,421990,418256,415940,412795,410685,406944,404658,402815,
Colorado,2793209,3006486,3055192,3081717,3118123,3155851,3220752,3271504,3327321,3376817,3367422,3413525,3444587,3482821,3526032,3588338,3645080,3685345,3728482,
Iowa,1831173,1855044,1862360,1872817,1884393,1895395,1911726,1924376,1934897,1944030,1950559,1961538,1961555,1967173,1971298,1971690,1969737,1967671,1965643,
Missouri,3505309,3624445,3660022,3694940,3729485,3767796,3813113,3845928,3870253,3891367,3876835,3886443,3877308,3872850,3870708,3869989,3864539,3862168,3853388,
